Team,Player,Position
Burnley FC,Lukas Jutkiewicz,Centre-Forward
Burnley FC,Chris Long,Centre-Forward
Burnley FC,Dan Agyei,Centre-Forward
Burnley FC,Ntumba Massanka,Centre-Forward
Crystal Palace,Steve Mandanda,Goalkeeper
Crystal Palace,Wayne Hennessey,Goalkeeper
Crystal Palace,Julián Speroni,Goalkeeper
Crystal Palace,James Tomkins,Centre-Back
Crystal Palace,Scott Dann,Centre-Back
Crystal Palace,Luke Croll,Centre-Back
Crystal Palace,Pape Souaré,Left-Back
Crystal Palace,Martin Kelly,Right-Back
Crystal Palace,Ben Wynter,Right-Back
Crystal Palace,Aaron Wan-Bissaka,Right-Back
Crystal Palace,Luka Milivojevic,Defensive Midfield
Crystal Palace,Mile Jedinak,Defensive Midfield
Crystal Palace,Mathieu Flamini,Defensive Midfield
Crystal Palace,Michael Phillips,Defensive Midfield
Crystal Palace,Yohan Cabaye,Central Midfield
Crystal Palace,James McArthur,Central Midfield
Crystal Palace,Jason Puncheon,Central Midfield
Crystal Palace,Jordon Mutch,Central Midfield
Crystal Palace,Hiram Boateng,Central Midfield
Crystal Palace,Luke Dreher,Central Midfield
Crystal Palace,Wilfried Zaha,Left Winger
Crystal Palace,Bakary Sako,Left Winger
Crystal Palace,Chung-yong Lee,Right Winger
Crystal Palace,Christian Benteke,Centre-Forward
Crystal Palace,Loïc Rémy,Centre-Forward
Crystal Palace,Connor Wickham,Centre-Forward
Crystal Palace,Fraizer Campbell,Centre-Forward
Crystal Palace,Jonathan Benteke,Centre-Forward
Crystal Palace,Kwesi Appiah,Centre-Forward
Crystal Palace,Freddie Ladapo,Centre-Forward
Watford FC,Costel Pantilimon,Goalkeeper
Watford FC,Heurelho Gomes,Goalkeeper
Watford FC,Giedrius Arlauskis,Goalkeeper
Watford FC,Rene Gilmartin,Goalkeeper
Watford FC,Christian Kabasele,Centre-Back
Watford FC,Sebastian Prödl,Centre-Back
Watford FC,Craig Cathcart,Centre-Back
Watford FC,Miguel Britos,Centre-Back
Watford FC,Adrian Mariappa,Centre-Back
Liverpool FC,Loris Karius,Goalkeeper
Liverpool FC,Ádám Bogdán,Goalkeeper
Liverpool FC,Alexander Manninger,Goalkeeper
Liverpool FC,Ben Woodburn,Attacking Midfield
Liverpool FC,Harry Wilson,Right Winger
Liverpool FC,Daniel Sturridge,Centre-Forward
