Team,Player,Position
West Ham United,Adrián,Goalkeeper
West Ham United,Darren Randolph,Goalkeeper
West Ham United,Raphael Spiegel,Goalkeeper
West Ham United,Álvaro Arbeloa,Defender
West Ham United,Sam Westley,Defender
West Ham United,Sofiane Feghouli,Midfielder
West Ham United,Grady Diangana,Midfielder
West Ham United,André Ayew,Forward
West Ham United,Michail Antonio,Forward
West Ham United,Simone Zaza,Forward
West Ham United,Enner Valencia,Forward
West Ham United,Andy Carroll,Forward
West Ham United,Diafra Sakho,Forward
West Ham United,Jonathan Calleri,Forward
West Ham United,Ashley Fletcher,Forward
Sunderland AFC,Bryan Oviedo,Defender
Sunderland AFC,Javier Manquillo,Defender
Sunderland AFC,Josh Robson,Defender
Sunderland AFC,Didier Ndong,Midfielder
Sunderland AFC,Lee Cattermole,Midfielder
Sunderland AFC,Sebastian Larsson,Midfielder
Sunderland AFC,Darron Gibson,Midfielder
Sunderland AFC,Ethan Robson,Midfielder
Sunderland AFC,Steven Pienaar,Midfielder
Sunderland AFC,Rees Greenwood,Midfielder
Sunderland AFC,Fabio Borini,Midfielder
Sunderland AFC,Adnan Januzaj,Midfielder
Sunderland AFC,Duncan Watmore,Midfielder
Sunderland AFC,Will Buckley,Midfielder
Sunderland AFC,Lynden Gooch,Midfielder
Sunderland AFC,Josh Maja,Forward
Burnley FC,Tom Heaton,Goalkeeper
Burnley FC,Nick Pope,Goalkeeper
Burnley FC,Paul Robinson,Goalkeeper
Burnley FC,Michael Keane,Defender
Burnley FC,Ben Mee,Defender
Burnley FC,James Tarkowski,Defender
Burnley FC,Kevin Long,Defender
Burnley FC,Tom Anderson,Defender
Burnley FC,Stephen Ward,Defender
Burnley FC,Danny Lafferty,Defender
Burnley FC,Jon Flanagan,Defender
Burnley FC,Matthew Lowton,Defender
Burnley FC,Tendayi Darikwa,Defender
Burnley FC,Brad Jackson,Defender
Burnley FC,Steven Defour,Midfielder
Burnley FC,Ashley Westwood,Midfielder
Burnley FC,Aiden O'Neill,Midfielder
Burnley FC,Jeff Hendrick,Midfielder
Burnley FC,Scott Arfield,Midfielder
Burnley FC,David Jones,Midfielder
Burnley FC,Dean Marney,Midfielder
Burnley FC,Joey Barton,Midfielder
Burnley FC,Robbie Brady,Midfielder
Burnley FC,Fredrik Ulvestad,Midfielder
Burnley FC,George Boyd,Midfielder
Burnley FC,Michael Kightly,Midfielder
Burnley FC,Jóhann Berg Gudmundsson,Midfielder
Burnley FC,Sam Vokes,Forward
Burnley FC,Ashley Barnes,Forward
Burnley FC,Rouwen Hennings,Forward
Burnley FC,Lukas Jutkiewicz,Forward
Burnley FC,Chris Long,Forward
Burnley FC,Dan Agyei,Forward
Burnley FC,Ntumba Massanka,Forward
Crystal Palace,Steve Mandanda,Goalkeeper
Crystal Palace,Wayne Hennessey,Goalkeeper
Crystal Palace,Julián Speroni,Goalkeeper
Crystal Palace,James Tomkins,Defender
Crystal Palace,Scott Dann,Defender
Crystal Palace,Luke Croll,Defender
Crystal Palace,Pape Souaré,Defender
Crystal Palace,Martin Kelly,Defender
Crystal Palace,Ben Wynter,Defender
Crystal Palace,Aaron Wan-Bissaka,Defender
Crystal Palace,Luka Milivojevic,Midfielder
Crystal Palace,Mile Jedinak,Midfielder
Crystal Palace,Mathieu Flamini,Midfielder
Crystal Palace,Michael Phillips,Midfielder
Crystal Palace,Yohan Cabaye,Midfielder
Crystal Palace,James McArthur,Midfielder
Crystal Palace,Jason Puncheon,Midfielder
Crystal Palace,Jordon Mutch,Midfielder
Crystal Palace,Hiram Boateng,Midfielder
Crystal Palace,Luke Dreher,Midfielder
Crystal Palace,Wilfried Zaha,Midfielder
Crystal Palace,Bakary Sako,Midfielder
Crystal Palace,Chung-yong Lee,Midfielder
Crystal Palace,Christian Benteke,Forward
Crystal Palace,Loïc Rémy,Forward
Crystal Palace,Connor Wickham,Forward
Crystal Palace,Fraizer Campbell,Forward
Crystal Palace,Jonathan Benteke,Forward
Crystal Palace,Kwesi Appiah,Forward
Crystal Palace,Freddie Ladapo,Forward
Watford FC,Costel Pantilimon,Goalkeeper
Watford FC,Heurelho Gomes,Goalkeeper
Watford FC,Giedrius Arlauskis,Goalkeeper
Watford FC,Rene Gilmartin,Goalkeeper
Watford FC,Christian Kabasele,Defender
Watford FC,Sebastian Prödl,Defender
Watford FC,Craig Cathcart,Defender
Watford FC,Miguel Britos,Defender
Watford FC,Adrian Mariappa,Defender
Liverpool FC,Loris Karius,Goalkeeper
Liverpool FC,Ádám Bogdán,Goalkeeper
Liverpool FC,Alexander Manninger,Goalkeeper
Liverpool FC,Ben Woodburn,Midfielder
Liverpool FC,Harry Wilson,Midfielder
Liverpool FC,Daniel Sturridge,Forward
Liverpool FC,Danny Ings,Forward
Everton FC,Joel Robles,Goalkeeper
Everton FC,Maarten Stekelenburg,Goalkeeper
Everton FC,Ramiro Funes Mori,Defender
West Ham United,Stephen Hendrie,Defender
West Ham United,Sam Byram,Defender
West Ham United,Lewis Page,Defender
West Ham United,Alex Pike,Defender
Sunderland AFC,Tommy Robson,Defender
Sunderland AFC,Adam Matthews,Defender
Sunderland AFC,Billy Jones,Defender
Sunderland AFC,Donald Love,Defender
Sunderland AFC,Jan Kirchhoff,Midfielder
Sunderland AFC,George Honeyman,Midfielder
Sunderland AFC,Elliot Embleton,Midfielder
Sunderland AFC,Wahbi Khazri,Midfielder
Sunderland AFC,Jeremain Lens,Midfielder
Sunderland AFC,Joel Asoro,Midfielder
Sunderland AFC,Jermain Defoe,Forward
Sunderland AFC,Victor Anichebe,Forward
Burnley FC,Patrick Bamford,Forward
Crystal Palace,Kleton Perntreou,Goalkeeper
Crystal Palace,Mamadou Sakho,Defender
Crystal Palace,Joe Ledley,Midfielder
Crystal Palace,Noor Husin,Midfielder
Crystal Palace,Jeffrey Schlupp,Midfielder
Crystal Palace,Yannick Bolasie,Midfielder
Watford FC,Tommie Hoban,Defender
Watford FC,Charlie Rowan,Defender
Watford FC,Jose Cholevas,Defender
Watford FC,Brandon Mason,Defender
Watford FC,Daryl Janmaat,Defender
Watford FC,Allan Nyom,Defender
Watford FC,Andrew Eleftheriou,Defender
Watford FC,Étienne Capoue,Midfielder
Watford FC,Brice Dja Djedje,Midfielder
Watford FC,Roberto Pereyra,Midfielder
Watford FC,Tom Cleverley,Midfielder
Watford FC,Abdoulaye Doucouré,Midfielder
Watford FC,Sven Kums,Midfielder
Watford FC,Ikechi Anya,Midfielder
Watford FC,Camilo Zúñiga,Midfielder
Watford FC,Kenedy,Midfielder
Watford FC,Steven Berghuis,Midfielder
Burnley FC,Andre Gray,Forward
Crystal Palace,Damien Delaney,Defender
Crystal Palace,Ryan Inniss,Defender
Crystal Palace,Patrick van Aanholt,Defender
Crystal Palace,Zeki Fryers,Defender
Crystal Palace,Joel Ward,Defender
Crystal Palace,Jonny Williams,Midfielder
Crystal Palace,Sullay Kaikai,Midfielder
Crystal Palace,Keshi Anderson,Midfielder
Crystal Palace,Andros Townsend,Midfielder
Watford FC,Younès Kaboul,Defender
Watford FC,Mario Suárez,Midfielder
Watford FC,Valon Behrami,Midfielder
Watford FC,Juan Carlos Paredes,Midfielder
Watford FC,Adlène Guédioura,Midfielder
Watford FC,Ben Watson,Midfielder
Watford FC,Carl Stewart,Midfielder
Watford FC,Dion Pereira,Midfielder
Watford FC,Nordin Amrabat,Midfielder
Watford FC,M'Baye Niang,Forward
Watford FC,Troy Deeney,Forward
Watford FC,Odion Ighalo,Forward
Watford FC,Matej Vydra,Forward
Watford FC,Stefano Okaka,Forward
Watford FC,Isaac Success,Forward
Watford FC,Obbi Oulare,Forward
Watford FC,Mauro Zárate,Forward
Watford FC,Jerome Sinclair,Forward
Watford FC,Mathias Ranégie,Forward
Watford FC,Michael Folivi,Forward
AFC Bournemouth,Artur Boruc, Goalkeeper
AFC Bournemouth,Adam Federici, Goalkeeper
AFC Bournemouth,Aaron Ramsdale, Goalkeeper
AFC Bournemouth,Ryan Allsop, Goalkeeper
AFC Bournemouth,Jordan Holmes, Defender
AFC Bournemouth,Nathan Aké, Defender
AFC Bournemouth,Steve Cook, Defender
AFC Bournemouth,Tyrone Mings, Defender
AFC Bournemouth,Marc Wilson, Defender
AFC Bournemouth,Baily Cargill, Defender
AFC Bournemouth,Jack Simpson, Defender
AFC Bournemouth,Corey Jordan, Defender
AFC Bournemouth,Charlie Daniels, Defender
AFC Bournemouth,Brad Smith, Defender
AFC Bournemouth,Rhoys Wiggins, Defender
AFC Bournemouth,Callum Buckley, Defender
AFC Bournemouth,Ollie Harfield, Defender
AFC Bournemouth,Adam Smith, Defender
AFC Bournemouth,Jack Wilshere,Midfielder
AFC Bournemouth,Lewis Cook,Midfielder
AFC Bournemouth,Dan Gosling,Midfielder
AFC Bournemouth,Harry Arter,Midfielder
AFC Bournemouth,Andrew Surman,Midfielder
AFC Bournemouth,Eunan O'Kane,Midfielder
AFC Bournemouth,Emerson Hyndman,Midfielder
AFC Bournemouth,Matt Worthington,Midfielder
AFC Bournemouth,Keelan O'Connell,Midfielder
AFC Bournemouth,Max Gradel,Midfielder
AFC Bournemouth,Ryan Fraser,Midfielder
AFC Bournemouth,Junior Stanislas,Midfielder
Manchester United,Morgan Schneiderlin,Midfielder
Manchester United,Michael Carrick,Midfielder
Manchester United,Paul Pogba,Midfielder
Manchester United,Henrikh Mkhitaryan,Midfielder
