team,player,event_type,reason,start_date,end_date,days,url
Arsenal FC,Mohamed Elneny,suspension,Called up to national team,2017-01-02,2017-02-05,35 days,https://www.transfermarkt.co.uk/mohamed-elneny/profil/spieler/160438
Arsenal FC,Aaron Ramsey,injury,Calf injury,2017-01-30,2017-03-02,32 days,https://www.transfermarkt.co.uk/aaron-ramsey/profil/spieler/50057
Arsenal FC,Aaron Ramsey,injury,Hamstring injury,2016-12-05,2016-12-26,22 days,https://www.transfermarkt.co.uk/aaron-ramsey/profil/spieler/50057
Arsenal FC,Aaron Ramsey,injury,Hamstring injury,2016-08-15,2016-10-24,71 days,https://www.transfermarkt.co.uk/aaron-ramsey/profil/spieler/50057
Arsenal FC,Alex Oxlade-Chamberlain,injury,Hamstring injury,2017-05-10,2017-05-27,18 days,https://www.transfermarkt.co.uk/alex-oxlade-chamberlain/profil/spieler/143424
Arsenal FC,Jack Wilshere,injury,Hairline fracture in the fibula,2017-04-16,2017-08-06,113 days,https://www.transfermarkt.co.uk/jack-wilshere/profil/spieler/74223
Arsenal FC,Santi Cazorla,injury,Ankle surgery,2016-10-20,2018-06-30,619 days,https://www.transfermarkt.co.uk/santi-cazorla/profil/spieler/15799
Arsenal FC,Mesut Özil,injury,muscular problems,2017-03-13,2017-03-23,11 days,https://www.transfermarkt.co.uk/mesut-ozil/profil/spieler/35664
Arsenal FC,Mesut Özil,injury,Ill,2017-02-27,2017-03-06,8 days,https://www.transfermarkt.co.uk/mesut-ozil/profil/spieler/35664
Arsenal FC,Mesut Özil,injury,Ill,2016-12-29,2017-01-09,12 days,https://www.transfermarkt.co.uk/mesut-ozil/profil/spieler/35664
Arsenal FC,Alex Iwobi,injury,Hamstring strain,2016-08-14,2016-09-10,28 days,https://www.transfermarkt.co.uk/alex-iwobi/profil/spieler/242631
Arsenal FC,Stephy Mavididi,injury,Torn thigh muscle,2017-02-25,2017-05-25,90 days,https://www.transfermarkt.co.uk/stephy-mavididi/profil/spieler/340328
Arsenal FC,Theo Walcott,injury,Calf strain,2016-12-23,2017-01-27,36 days,https://www.transfermarkt.co.uk/theo-walcott/profil/spieler/33713
Arsenal FC,Theo Walcott,injury,Hamstring injury,2016-10-25,2016-11-06,13 days,https://www.transfermarkt.co.uk/theo-walcott/profil/spieler/33713
Arsenal FC,Joel Campbell,injury,Adductor injury,2017-02-01,2017-02-22,22 days,https://www.transfermarkt.co.uk/joel-campbell/profil/spieler/131248
Arsenal FC,Alexis Sánchez,injury,Thigh problems,2016-11-08,2016-11-14,7 days,https://www.transfermarkt.co.uk/alexis-sanchez/profil/spieler/40433
Arsenal FC,Olivier Giroud,injury,Thigh problems,2016-11-27,2016-12-05,9 days,https://www.transfermarkt.co.uk/olivier-giroud/profil/spieler/82442
Arsenal FC,Olivier Giroud,injury,Toe injury,2016-09-24,2016-10-16,23 days,https://www.transfermarkt.co.uk/olivier-giroud/profil/spieler/82442
Arsenal FC,Olivier Giroud,injury,Toe injury,2016-09-13,2016-09-21,9 days,https://www.transfermarkt.co.uk/olivier-giroud/profil/spieler/82442
Arsenal FC,Lucas Pérez,injury,Hamstring strain,2017-03-16,2017-05-01,47 days,https://www.transfermarkt.co.uk/lucas-perez/profil/spieler/73185
Arsenal FC,Lucas Pérez,injury,Ankle injury,2016-10-25,2016-11-30,37 days,https://www.transfermarkt.co.uk/lucas-perez/profil/spieler/73185
Arsenal FC,Danny Welbeck,injury,Toe injury,2017-04-17,2017-04-20,4 days,https://www.transfermarkt.co.uk/danny-welbeck/profil/spieler/67063
Arsenal FC,Danny Welbeck,injury,Cartilage damage,2016-05-09,2017-01-02,239 days,https://www.transfermarkt.co.uk/danny-welbeck/profil/spieler/67063
Arsenal FC,Chuba Akpom,injury,Back injury,2016-09-28,2017-01-07,102 days,https://www.transfermarkt.co.uk/chuba-akpom/profil/spieler/197642
Arsenal FC,Yaya Sanogo,injury,Calf injury,2016-04-24,2017-03-01,312 days,https://www.transfermarkt.co.uk/yaya-sanogo/profil/spieler/127194
Manchester United,Eric Bailly,injury,Knee injury,2016-10-24,2016-12-01,39 days,https://www.transfermarkt.co.uk/eric-bailly/profil/spieler/286384
Manchester United,Marcos Rojo,injury,Cruciate ligament tear,2017-04-21,2017-11-15,209 days,https://www.transfermarkt.co.uk/marcos-rojo/profil/spieler/93176
Manchester United,Chris Smalling,injury,Knee injury,2017-03-23,2017-05-01,40 days,https://www.transfermarkt.co.uk/chris-smalling/profil/spieler/103427
Manchester United,Chris Smalling,injury,Foot injury,2016-10-24,2016-12-15,53 days,https://www.transfermarkt.co.uk/chris-smalling/profil/spieler/103427
Manchester United,Chris Smalling,suspension,Indirect card suspension,2016-05-22,2016-08-15,86 days,https://www.transfermarkt.co.uk/chris-smalling/profil/spieler/103427
Manchester United,Phil Jones,injury,Toe injury,2017-03-20,2017-05-04,46 days,https://www.transfermarkt.co.uk/phil-jones/profil/spieler/117996
Manchester United,Phil Jones,injury,Knee injury,2016-09-05,2016-11-03,60 days,https://www.transfermarkt.co.uk/phil-jones/profil/spieler/117996
Manchester United,Luke Shaw,injury,Foot injury,2017-04-30,2017-11-06,191 days,https://www.transfermarkt.co.uk/luke-shaw/profil/spieler/183288
Manchester United,Luke Shaw,injury,Foot injury,2017-04-30,2017-08-20,113 days,https://www.transfermarkt.co.uk/luke-shaw/profil/spieler/183288
Manchester United,Luke Shaw,injury,Groin injury,2016-10-30,2017-01-02,65 days,https://www.transfermarkt.co.uk/luke-shaw/profil/spieler/183288
Manchester United,Cameron Borthwick-Jackson,injury,Groin injury,2016-07-19,2016-08-14,27 days,https://www.transfermarkt.co.uk/cameron-borthwick-jackson/profil/spieler/258879
Manchester United,Antonio Valencia,injury,Broken arm,2016-10-27,2016-11-14,19 days,https://www.transfermarkt.co.uk/antonio-valencia/profil/spieler/33544
Manchester United,Ashley Young,injury,muscular problems,2017-05-04,2017-08-20,109 days,https://www.transfermarkt.co.uk/ashley-young/profil/spieler/14086
Manchester United,Ashley Young,injury,Knock,2017-04-03,2017-04-13,11 days,https://www.transfermarkt.co.uk/ashley-young/profil/spieler/14086
Manchester United,Timothy Fosu-Mensah,injury,Shoulder injury,2017-04-27,2017-05-20,24 days,https://www.transfermarkt.co.uk/timothy-fosu-mensah/profil/spieler/315131
Manchester United,Guillermo Varela,injury,Ankle problems,2017-03-27,2017-04-13,18 days,https://www.transfermarkt.co.uk/guillermo-varela/profil/spieler/188862
Manchester United,Guillermo Varela,injury,Remove screws/nails,2017-03-09,2017-03-23,15 days,https://www.transfermarkt.co.uk/guillermo-varela/profil/spieler/188862
Manchester United,Guillermo Varela,injury,Ankle problems,2017-03-02,2017-03-09,8 days,https://www.transfermarkt.co.uk/guillermo-varela/profil/spieler/188862
Manchester United,Guillermo Varela,injury,Fitness,2017-01-16,2017-02-23,39 days,https://www.transfermarkt.co.uk/guillermo-varela/profil/spieler/188862
Manchester United,Guillermo Varela,injury,Torn ankle ligaments,2016-09-12,2017-01-16,127 days,https://www.transfermarkt.co.uk/guillermo-varela/profil/spieler/188862
