team,player,event_type,reason,start_date,end_date,days,url
Tottenham Hotspur,Kyle Walker-Peters,none,,,,,https://www.transfermarkt.co.uk/kyle-walker-peters/profil/spieler/341051
Tottenham Hotspur,Victor Wanyama,none,,,,,https://www.transfermarkt.co.uk/victor-wanyama/profil/spieler/77760
Tottenham Hotspur,Nabil Bentaleb,injury,Stomach flu,2017-02-13,2017-02-16,4 days,https://www.transfermarkt.co.uk/nabil-bentaleb/profil/spieler/245537
Tottenham Hotspur,Nabil Bentaleb,injury,influenza,2016-12-08,2016-12-08,1 days,https://www.transfermarkt.co.uk/nabil-bentaleb/profil/spieler/245537
Tottenham Hotspur,Harry Winks,injury,Ankle injury,2017-04-03,2017-06-01,60 days,https://www.transfermarkt.co.uk/harry-winks/profil/spieler/249126
Tottenham Hotspur,Filip Lesniak,none,,,,,https://www.transfermarkt.co.uk/filip-lesniak/profil/spieler/186383
Tottenham Hotspur,Christian Eriksen,none,,,,,https://www.transfermarkt.co.uk/christian-eriksen/profil/spieler/69633
Tottenham Hotspur,Moussa Sissoko,suspension,Suspension through sports court,2016-10-24,2016-11-07,15 days,https://www.transfermarkt.co.uk/moussa-sissoko/profil/spieler/46001
Tottenham Hotspur,Mousa Dembélé,injury,unknown injury,2016-09-18,2016-10-02,15 days,https://www.transfermarkt.co.uk/mousa-dembele/profil/spieler/19368
Tottenham Hotspur,Mousa Dembélé,suspension,Suspension through sports court,2016-05-06,2016-09-11,129 days,https://www.transfermarkt.co.uk/mousa-dembele/profil/spieler/19368
Tottenham Hotspur,Ryan Mason,injury,Skull fracture,2017-01-22,2018-02-13,388 days,https://www.transfermarkt.co.uk/ryan-mason/profil/spieler/61834
Tottenham Hotspur,Tom Carroll,none,,,,,https://www.transfermarkt.co.uk/tom-carroll/profil/spieler/121279
Tottenham Hotspur,Josh Onomah,none,,,,,https://www.transfermarkt.co.uk/josh-onomah/profil/spieler/243589
Tottenham Hotspur,Luke Amos,none,,,,,https://www.transfermarkt.co.uk/luke-amos/profil/spieler/258912
Tottenham Hotspur,Dele Alli,injury,Knee injury,2016-11-07,2016-11-17,11 days,https://www.transfermarkt.co.uk/dele-alli/profil/spieler/207929
Tottenham Hotspur,Heung-min Son,suspension,Olympic games,2016-07-18,2016-08-21,35 days,https://www.transfermarkt.co.uk/heung-min-son/profil/spieler/91845
Tottenham Hotspur,Georges-Kevin N'Koudou,none,,,,,https://www.transfermarkt.co.uk/georges-kevin-nkoudou/profil/spieler/215679
Tottenham Hotspur,Samuel Shashoua,none,,,,,https://www.transfermarkt.co.uk/samuel-shashoua/profil/spieler/387313
Tottenham Hotspur,Erik Lamela,injury,Hip injury,2016-10-24,2017-11-16,389 days,https://www.transfermarkt.co.uk/erik-lamela/profil/spieler/111630
Tottenham Hotspur,Clinton N'Jie,none,,,,,https://www.transfermarkt.co.uk/clinton-njie/profil/spieler/241119
Tottenham Hotspur,Marcus Edwards,injury,Ankle injury,2016-10-15,2017-01-31,109 days,https://www.transfermarkt.co.uk/marcus-edwards/profil/spieler/314367
Tottenham Hotspur,Harry Kane,injury,Ankle injury,2017-03-13,2017-04-06,25 days,https://www.transfermarkt.co.uk/harry-kane/profil/spieler/132098
Tottenham Hotspur,Harry Kane,injury,Ankle injury,2016-09-19,2016-11-07,50 days,https://www.transfermarkt.co.uk/harry-kane/profil/spieler/132098
Tottenham Hotspur,Vincent Janssen,injury,Ankle injury,2016-12-01,2016-12-28,28 days,https://www.transfermarkt.co.uk/vincent-janssen/profil/spieler/207015
Tottenham Hotspur,Vincent Janssen,injury,concussion,2016-11-10,2016-11-16,7 days,https://www.transfermarkt.co.uk/vincent-janssen/profil/spieler/207015
Tottenham Hotspur,Shayon Harrison,none,,,,,https://www.transfermarkt.co.uk/shayon-harrison/profil/spieler/345739
Arsenal FC,Wojciech Szczesny,none,,,,,https://www.transfermarkt.co.uk/wojciech-szczesny/profil/spieler/44058
Arsenal FC,David Ospina,injury,Back injury,2017-04-03,2017-04-27,25 days,https://www.transfermarkt.co.uk/david-ospina/profil/spieler/73396
Arsenal FC,Petr Cech,injury,Calf strain,2017-03-18,2017-04-17,31 days,https://www.transfermarkt.co.uk/petr-cech/profil/spieler/5658
Arsenal FC,Emiliano Martínez,none,,,,,https://www.transfermarkt.co.uk/emiliano-martinez/profil/spieler/111873
Arsenal FC,Matt Macey,none,,,,,https://www.transfermarkt.co.uk/matt-macey/profil/spieler/220491
